Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,68,,DIST_NGS,,2048,,3.6303,3.6303,3.6303,3.6303,,,,41.3502,19.5053,,,19.5053,,,,,,13.4624,,Energy
LTS,68,,DIST_NGS,,2049,,3.569,3.569,3.569,3.569,,,,41.319,18.9653,,,18.9653,,,,,,12.8117,,Energy
LTS,68,,DIST_NGS,,2050,,3.5072,3.5072,3.5072,3.5072,,,,41.2587,18.4271,,,18.4271,,,,,,12.1838,,Energy
LTS,68,,DIST_NGS,,2051,,3.5167,3.5167,3.5167,3.5167,,,,42.0277,18.2647,,,18.2647,,,,,,11.8199,,Energy
LTS,68,,DIST_NGS,,2052,,3.5263,3.5263,3.5263,3.5263,,,,42.8015,18.0996,,,18.0996,,,,,,11.4643,,Energy
LTS,68,,DIST_NGS,,2053,,3.5357,3.5357,3.5357,3.5357,,,,43.5764,17.9306,,,17.9306,,,,,,11.1161,,Energy
LTS,68,,DIST_NGS,,2054,,3.5452,3.5452,3.5452,3.5452,,,,44.3561,17.7595,,,17.7595,,,,,,10.7762,,Energy
LTS,68,,DIST_NGS,,2055,,3.5546,3.5546,3.5546,3.5546,,,,45.1381,17.5855,,,17.5855,,,,,,10.4439,,Energy
LTS,68,,DIST_LPG,,2021,,4.4822,4.4822,4.4822,4.4822,,,,97.0204,95.7039,,,95.7039,,,,,,117.9289,,Energy
LTS,68,,DIST_LPG,,2022,,5.4102,5.4102,5.4102,5.4102,,,,117.108,112.405,,,112.405,,,,,,135.5671,,Energy
LTS,68,,DIST_LPG,,2023,,5.529,5.529,5.529,5.529,,,,123.018,114.895,,,114.895,,,,,,135.6273,,Energy
LTS,68,,DIST_LPG,,2024,,5.5567,5.5567,5.5567,5.5567,,,,118.128,107.355,,,107.355,,,,,,124.0344,,Energy
LTS,68,,DIST_LPG,,2025,,5.5845,5.5845,5.5845,5.5845,,,,112.065,99.0992,,,99.0992,,,,,,112.065,,Energy
LTS,68,,DIST_LPG,,2026,,5.5978,5.5978,5.5978,5.5978,,,,109.899,94.5645,,,94.5645,,,,,,104.6657,,Energy
LTS,68,,DIST_LPG,,2027,,5.5311,5.5311,5.5311,5.5311,,,,110.918,92.8694,,,92.8694,,,,,,100.6059,,Energy
LTS,68,,DIST_LPG,,2028,,5.464,5.464,5.464,5.464,,,,111.874,91.1445,,,91.1445,,,,,,96.641,,Energy
LTS,68,,DIST_LPG,,2029,,5.3965,5.3965,5.3965,5.3965,,,,112.764,89.3937,,,89.3937,,,,,,92.7712,,Energy
LTS,68,,DIST_LPG,,2030,,5.3287,5.3287,5.3287,5.3287,,,,113.591,87.6224,,,87.6224,,,,,,89.0015,,Energy
LTS,68,,DIST_LPG,,2031,,5.2601,5.2601,5.2601,5.2601,,,,114.344,85.8256,,,85.8256,,,,,,85.3253,,Energy
LTS,68,,DIST_LPG,,2032,,5.1913,5.1913,5.1913,5.1913,,,,115.035,84.0166,,,84.0166,,,,,,81.7532,,Energy
LTS,68,,DIST_LPG,,2033,,5.1221,5.1221,5.1221,5.1221,,,,115.658,82.1952,,,82.1952,,,,,,78.2819,,Energy
LTS,68,,DIST_LPG,,2034,,5.0525,5.0525,5.0525,5.0525,,,,116.215,80.3646,,,80.3646,,,,,,74.9132,,Energy
LTS,68,,DIST_LPG,,2035,,4.9825,4.9825,4.9825,4.9825,,,,116.703,78.5269,,,78.5269,,,,,,71.6455,,Energy
LTS,68,,DIST_LPG,,2036,,4.7294,4.7294,4.7294,4.7294,,,,112.766,73.8328,,,73.8328,,,,,,65.9319,,Energy
LTS,68,,DIST_LPG,,2037,,4.4818,4.4818,4.4818,4.4818,,,,108.75,69.2839,,,69.2839,,,,,,60.5561,,Energy
LTS,68,,DIST_LPG,,2038,,4.2397,4.2397,4.2397,4.2397,,,,104.66,64.8815,,,64.8815,,,,,,55.5034,,Energy
LTS,68,,DIST_LPG,,2039,,4.003,4.003,4.003,4.003,,,,100.503,60.6249,,,60.6249,,,,,,50.7608,,Energy
LTS,68,,DIST_LPG,,2040,,3.7718,3.7718,3.7718,3.7718,,,,96.2865,56.516,,,56.516,,,,,,46.3155,,Energy
LTS,68,,DIST_LPG,,2041,,3.5296,3.5296,3.5296,3.5296,,,,91.5899,52.3103,,,52.3103,,,,,,41.9584,,Energy
LTS,68,,DIST_LPG,,2042,,3.2935,3.2935,3.2935,3.2935,,,,86.8503,48.2663,,,48.2663,,,,,,37.8925,,Energy
LTS,68,,DIST_LPG,,2043,,3.0633,3.0633,3.0633,3.0633,,,,82.0698,44.3803,,,44.3803,,,,,,34.1017,,Energy
LTS,68,,DIST_LPG,,2044,,2.8392,2.8392,2.8392,2.8392,,,,77.2614,40.654,,,40.654,,,,,,30.575,,Energy
LTS,68,,DIST_LPG,,2045,,2.6211,2.6211,2.6211,2.6211,,,,72.4302,37.0846,,,37.0846,,,,,,27.2982,,Energy
LTS,68,,DIST_LPG,,2046,,2.4021,2.4021,2.4021,2.4021,,,,67.39,33.574,,,33.574,,,,,,24.1891,,Energy
LTS,68,,DIST_LPG,,2047,,2.1894,2.1894,2.1894,2.1894,,,,62.3447,30.2232,,,30.2232,,,,,,21.3125,,Energy
LTS,68,,DIST_LPG,,2048,,1.9829,1.9829,1.9829,1.9829,,,,57.2995,27.0287,,,27.0287,,,,,,18.6551,,Energy
LTS,68,,DIST_LPG,,2049,,1.7827,1.7827,1.7827,1.7827,,,,52.265,23.9894,,,23.9894,,,,,,16.2057,,Energy
LTS,68,,DIST_LPG,,2050,,1.5889,1.5889,1.5889,1.5889,,,,47.2525,21.1041,,,21.1041,,,,,,13.9538,,Energy
LTS,68,,DIST_LPG,,2051,,1.5924,1.5924,1.5924,1.5924,,,,48.0271,20.8719,,,20.8719,,,,,,13.5072,,Energy
LTS,68,,DIST_LPG,,2052,,1.5959,1.5959,1.5959,1.5959,,,,48.8047,20.6382,,,20.6382,,,,,,13.0723,,Energy
LTS,68,,DIST_LPG,,2053,,1.5993,1.5993,1.5993,1.5993,,,,49.5821,20.4018,,,20.4018,,,,,,12.6481,,Energy
LTS,68,,DIST_LPG,,2054,,1.6029,1.6029,1.6029,1.6029,,,,50.3687,20.1668,,,20.1668,,,,,,12.2369,,Energy
LTS,68,,DIST_LPG,,2055,,1.6064,1.6064,1.6064,1.6064,,,,51.1552,19.9297,,,19.9297,,,,,,11.8362,,Energy
LTS,68,,DIST_KER,,2021,,0.1589,0.1589,0.1589,0.1589,,,,2.64694,2.61102,,,2.61102,,,,,,3.2174,,Energy
LTS,68,,DIST_KER,,2022,,1.2037,1.2037,1.2037,1.2037,,,,20.0511,19.2459,,,19.2459,,,,,,23.2117,,Energy
LTS,68,,DIST_KER,,2023,,0.0843,0.0843,0.0843,0.0843,,,,1.18517,1.10691,,,1.10691,,,,,,1.3066,,Energy
LTS,68,,DIST_KER,,2024,,0.0849,0.0849,0.0849,0.0849,,,,1.1455,1.04103,,,1.04103,,,,,,1.2028,,Energy
LTS,68,,DIST_KER,,2025,,0.0855,0.0855,0.0855,0.0855,,,,1.07462,0.950294,,,0.950294,,,,,,1.0746,,Energy
