block,o_id,outcome,level,o1_fam,o1_col,o2_fam,o2_col,family,column,period,base_thr,thr_type,thr_range,thr_value,thr_value_norm,prim_option,coverage,density,avg_cov_dev,driver_col,min,max,min_norm,max_norm,query_type
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,21-30,Low,Low,25,35.13789618470001,0.1536189708393941,base,1.0,1.0,1.0,Fixed Costs Electric Transport_direct,0.9971654445562456,1.007909809175385,0.0,0.9169627092464412,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,31-40,High,High,75,53.68458661000001,0.7410112270736995,base,0.2,0.5,0.35,Fuel Demand_direct,139.0399793,140.787365,0.3074666125550363,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,31-40,Low,Low,25,51.5471028834,0.39393471721517503,base,1.0,1.0,1.0,Capital Costs ICE Transport_direct,1.0006411139375548,1.0851705362847905,0.2474535593058302,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,31-40,Low,Low,25,51.5471028834,0.39393471721517503,base,1.0,1.0,1.0,Fixed Costs Crops_direct,0.9577542906666666,1.0390174500992528,0.0,0.499362493473246,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,31-40,Low,Low,25,51.5471028834,0.39393471721517503,base,1.0,1.0,1.0,Capital Costs Industry_direct,0.991312945147433,1.0644346016942856,0.14168663623128094,0.7797597653738002,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,31-40,Low,Low,25,51.5471028834,0.39393471721517503,base,1.0,1.0,1.0,Capital Costs Electric Transport_direct,0.9223122274721564,1.0934643921227758,0.20240827598200017,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,41-50,High,High,75,76.56129749299998,0.6897361405167292,base,1.0,1.0,1.0,Fuel Demand_direct,253.003231,259.23488699999996,0.1389131854426273,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,41-50,High,High,75,76.56129749299998,0.6897361405167292,base,1.0,1.0,1.0,Capital Costs Electric Transport_direct,0.8244189348819978,1.0413661875316311,0.0,0.5701952064590666,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,41-50,High,High,75,76.56129749299998,0.6897361405167292,base,1.0,1.0,1.0,Capital Costs ICE Transport_direct,0.9526412960059922,1.0505504999689466,0.0,0.5056013323264668,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,41-50,High,High,75,76.56129749299998,0.6897361405167292,base,1.0,1.0,1.0,Capital Costs Industry_direct,1.0111648611104873,1.1750770413271128,0.26739294079609593,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,41-50,High,High,75,76.56129749299998,0.6897361405167292,base,1.0,1.0,1.0,Variable Costs Import Fuels_direct,0.8653011607712455,1.2859387402057005,0.012124319053163765,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,41-50,Low,Low,25,73.134726044,0.3240750246679198,base,1.0,1.0,1.0,Capital Costs ICE Transport_direct,1.0004439714739162,1.1462903188684048,0.24685213878867635,1.0,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,41-50,Low,Low,25,73.134726044,0.3240750246679198,base,1.0,1.0,1.0,Fixed Costs Crops_direct,0.9175202817970105,1.0761769263775787,0.0,0.49936249343606676,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,41-50,Low,Low,25,73.134726044,0.3240750246679198,base,1.0,1.0,1.0,Capital Costs Industry_direct,0.9830395595735731,1.1258008890221833,0.14168663623135497,0.779759765373822,structured
2,2,Emissions,1,o_pure_direct_d_pure_direct,Emissions_direct,,,o_pure_direct_d_pure_direct,Emissions_direct,41-50,Low,Low,25,73.134726044,0.3240750246679198,base,1.0,1.0,1.0,Capital Costs Electric Transport_direct,0.9014310158157157,1.2048978484051116,0.20240827598199995,1.0,structured
