Strategy,Future.ID,Year,Fuel,SpecifiedAnnualDemand
BAU,0,2036,E5TRODSL,12.968658999999999
BAU,0,2036,E5TROELE,0.12008160000000001
BAU,0,2036,E5TROFOI,0.1972
BAU,0,2036,E5TROGSL,28.792610000000003
BAU,0,2037,E5TRODSL,13.22809
BAU,0,2037,E5TROELE,0.134982
BAU,0,2037,E5TROFOI,0.2178
BAU,0,2037,E5TROGSL,29.238329999999998
BAU,0,2038,E5TRODSL,13.456840000000001
BAU,0,2038,E5TROELE,0.150318
BAU,0,2038,E5TROFOI,0.239132
BAU,0,2038,E5TROGSL,29.706560000000003
BAU,0,2039,E5TRODSL,13.684066999999999
BAU,0,2039,E5TROELE,0.16604259999999998
BAU,0,2039,E5TROFOI,0.261004
BAU,0,2039,E5TROGSL,30.1704
BAU,0,2040,E5TRODSL,13.908688000000001
BAU,0,2040,E5TROELE,0.1828544
BAU,0,2040,E5TROFOI,0.2837
BAU,0,2040,E5TROGSL,30.626869999999997
BAU,0,2041,E5TRODSL,14.269233
BAU,0,2041,E5TROELE,0.199958
BAU,0,2041,E5TROFOI,0.2806
BAU,0,2041,E5TROGSL,31.28025
BAU,0,2042,E5TRODSL,14.628179
BAU,0,2042,E5TROELE,0.2182208
BAU,0,2042,E5TROFOI,0.277234
BAU,0,2042,E5TROGSL,31.93097
BAU,0,2043,E5TRODSL,14.990834000000001
BAU,0,2043,E5TROELE,0.23745919999999998
BAU,0,2043,E5TROFOI,0.273319
BAU,0,2043,E5TROGSL,32.57848
BAU,0,2044,E5TRODSL,15.361948
BAU,0,2044,E5TROELE,0.2565938
BAU,0,2044,E5TROFOI,0.268903
BAU,0,2044,E5TROGSL,33.22444
BAU,0,2045,E5TRODSL,15.74457
BAU,0,2045,E5TROELE,0.2763866
BAU,0,2045,E5TROFOI,0.2641
BAU,0,2045,E5TROGSL,33.8667
BAU,0,2046,E5TRODSL,16.164608
BAU,0,2046,E5TROELE,0.2976692
BAU,0,2046,E5TROFOI,0.2595
BAU,0,2046,E5TROGSL,34.5836
BAU,0,2047,E5TRODSL,16.585672
BAU,0,2047,E5TROELE,0.3194924
BAU,0,2047,E5TROFOI,0.254425
BAU,0,2047,E5TROGSL,35.29814
BAU,0,2048,E5TRODSL,17.010808
BAU,0,2048,E5TROELE,0.3424504
BAU,0,2048,E5TROFOI,0.2488
BAU,0,2048,E5TROGSL,36.00959
BAU,0,2049,E5TRODSL,17.43948
BAU,0,2049,E5TROELE,0.365414
BAU,0,2049,E5TROFOI,0.2427
BAU,0,2049,E5TROGSL,36.717659999999995
BAU,0,2050,E5TRODSL,17.869466
BAU,0,2050,E5TROELE,0.389434
BAU,0,2050,E5TROFOI,0.236133
BAU,0,2050,E5TROGSL,37.42414
BAU,0,2051,E5TRODSL,18.247004999999998
BAU,0,2051,E5TROELE,0.39780000000000004
BAU,0,2051,E5TROFOI,0.241124
BAU,0,2051,E5TROGSL,38.21416
BAU,0,2052,E5TRODSL,18.631806
BAU,0,2052,E5TROELE,0.40632500000000005
BAU,0,2052,E5TROFOI,0.2462
BAU,0,2052,E5TROGSL,39.02055
BAU,0,2053,E5TRODSL,19.025317
BAU,0,2053,E5TROELE,0.414507
BAU,0,2053,E5TROFOI,0.2514
BAU,0,2053,E5TROGSL,39.84414
BAU,0,2054,E5TRODSL,19.426153
BAU,0,2054,E5TROELE,0.423381
BAU,0,2054,E5TROFOI,0.256731
BAU,0,2054,E5TROGSL,40.68445
BAU,0,2055,E5TRODSL,19.836064999999998
BAU,0,2055,E5TROELE,0.43226299999999995
BAU,0,2055,E5TROFOI,0.262132
BAU,0,2055,E5TROGSL,41.544070000000005
BAU,1,2021,E5TRODSL,9.32529533
BAU,1,2021,E5TROFOI,0.0144
BAU,1,2021,E5TROGSL,20.86653876
BAU,1,2022,E5TRODSL,10.088475489999999
BAU,1,2022,E5TROFOI,0.0156
BAU,1,2022,E5TROGSL,22.576075359999997
BAU,1,2023,E5TRODSL,10.558755300000001
BAU,1,2023,E5TROFOI,0.016303584
BAU,1,2023,E5TROGSL,23.62971588
BAU,1,2024,E5TRODSL,10.762740440000002
BAU,1,2024,E5TROFOI,0.01652509
BAU,1,2024,E5TROGSL,24.082653999999998
BAU,1,2025,E5TRODSL,10.97084808
BAU,1,2025,E5TROFOI,0.0169
BAU,1,2025,E5TROGSL,24.5492405
BAU,1,2026,E5TRODSL,11.1397026
BAU,1,2026,E5TROELE,0.0082476
BAU,1,2026,E5TROFOI,0.030513978
BAU,1,2026,E5TROGSL,24.9250765
BAU,1,2027,E5TRODSL,11.322522359999999
BAU,1,2027,E5TROELE,0.0160811
BAU,1,2027,E5TROFOI,0.058952688
BAU,1,2027,E5TROGSL,25.443051099999998
BAU,1,2028,E5TRODSL,11.5813927
BAU,1,2028,E5TROELE,0.02475661
BAU,1,2028,E5TROFOI,0.0739
BAU,1,2028,E5TROGSL,25.9758864
BAU,1,2029,E5TRODSL,11.84183581
BAU,1,2029,E5TROELE,0.03399374
BAU,1,2029,E5TROFOI,0.089334767
BAU,1,2029,E5TROGSL,26.5098227
BAU,1,2030,E5TRODSL,12.11207191
BAU,1,2030,E5TROELE,0.04310391
BAU,1,2030,E5TROFOI,0.1053
BAU,1,2030,E5TROGSL,27.0355023
BAU,1,2031,E5TRODSL,12.40759229
BAU,1,2031,E5TROELE,0.05487649
BAU,1,2031,E5TROFOI,0.1221
BAU,1,2031,E5TROGSL,27.6036031
BAU,1,2032,E5TRODSL,12.70318223
BAU,1,2032,E5TROELE,0.06710168999999999
BAU,1,2032,E5TROFOI,0.1396
BAU,1,2032,E5TROGSL,28.1699975
BAU,1,2033,E5TRODSL,13.00088413
BAU,1,2033,E5TROELE,0.07957925
BAU,1,2033,E5TROFOI,0.15777097
BAU,1,2033,E5TROGSL,28.7356729
BAU,1,2034,E5TRODSL,13.30023657
BAU,1,2034,E5TROELE,0.09276203999999999
BAU,1,2034,E5TROFOI,0.1763
BAU,1,2034,E5TROGSL,29.3027516
BAU,1,2035,E5TRODSL,13.60060347
BAU,1,2035,E5TROELE,0.10629375999999999
BAU,1,2035,E5TROFOI,0.19572473
BAU,1,2035,E5TROGSL,29.867796400000003
BAU,1,2036,E5TRODSL,13.96160517
BAU,1,2036,E5TROELE,0.12017315
BAU,1,2036,E5TROFOI,0.21651326
BAU,1,2036,E5TROGSL,30.546192499999997
BAU,1,2037,E5TRODSL,14.36596685
BAU,1,2037,E5TROELE,0.13488476
BAU,1,2037,E5TROFOI,0.2381
BAU,1,2037,E5TROGSL,31.182230500000003
BAU,1,2038,E5TRODSL,14.72700266
BAU,1,2038,E5TROELE,0.15048944
BAU,1,2038,E5TROFOI,0.26042939
BAU,1,2038,E5TROGSL,31.860131
BAU,1,2039,E5TRODSL,15.08957464
BAU,1,2039,E5TROELE,0.16589600999999998
BAU,1,2039,E5TROFOI,0.28354803
BAU,1,2039,E5TROGSL,32.541861600000004
BAU,1,2040,E5TRODSL,15.4545944
BAU,1,2040,E5TROELE,0.18195888999999998
BAU,1,2040,E5TROFOI,0.3074
BAU,1,2040,E5TROGSL,33.2178595
BAU,1,2041,E5TRODSL,15.97629467
BAU,1,2041,E5TROELE,0.19925032
BAU,1,2041,E5TROFOI,0.3053
BAU,1,2041,E5TROGSL,34.1156712
BAU,1,2042,E5TRODSL,16.50394669
BAU,1,2042,E5TROELE,0.21715316
BAU,1,2042,E5TROFOI,0.30281254
BAU,1,2042,E5TROGSL,35.0192769
BAU,1,2043,E5TRODSL,17.04240079
BAU,1,2043,E5TROELE,0.2360561
BAU,1,2043,E5TROFOI,0.29982366
BAU,1,2043,E5TROGSL,35.924897200000004
BAU,1,2044,E5TRODSL,17.588023109999998
BAU,1,2044,E5TROELE,0.25489019
BAU,1,2044,E5TROFOI,0.2963
BAU,1,2044,E5TROGSL,36.8381879
BAU,1,2045,E5TRODSL,18.1433212
BAU,1,2045,E5TROELE,0.27456226
BAU,1,2045,E5TROFOI,0.29242079
BAU,1,2045,E5TROGSL,37.7538763
BAU,1,2046,E5TRODSL,18.75538228
BAU,1,2046,E5TROELE,0.29464409
BAU,1,2046,E5TROFOI,0.2887
BAU,1,2046,E5TROGSL,38.760727700000004
BAU,1,2047,E5TRODSL,19.38729448
BAU,1,2047,E5TROELE,0.31583397
BAU,1,2047,E5TROFOI,0.28450932
BAU,1,2047,E5TROGSL,39.7726244
BAU,1,2048,E5TRODSL,20.03159136
BAU,1,2048,E5TROELE,0.33822454
BAU,1,2048,E5TROFOI,0.27971792
BAU,1,2048,E5TROGSL,40.7914069
BAU,1,2049,E5TRODSL,20.68870618
BAU,1,2049,E5TROELE,0.36062197
BAU,1,2049,E5TROFOI,0.2744
BAU,1,2049,E5TROGSL,41.8147128
BAU,1,2050,E5TRODSL,21.35316415
BAU,1,2050,E5TROELE,0.38389659
BAU,1,2050,E5TROFOI,0.26868172
BAU,1,2050,E5TROGSL,42.8417839
BAU,1,2051,E5TRODSL,21.9636845
BAU,1,2051,E5TROELE,0.39185245999999996
BAU,1,2051,E5TROFOI,0.27480323
BAU,1,2051,E5TROGSL,43.974756899999996
BAU,1,2052,E5TRODSL,22.5901422
BAU,1,2052,E5TROELE,0.39997775
BAU,1,2052,E5TROFOI,0.2811
BAU,1,2052,E5TROGSL,45.1334211
BAU,1,2053,E5TRODSL,23.2354144
BAU,1,2053,E5TROELE,0.40779356
BAU,1,2053,E5TROFOI,0.2875
BAU,1,2053,E5TROGSL,46.3233499
BAU,1,2054,E5TRODSL,23.894246099999997
BAU,1,2054,E5TROELE,0.41622353
BAU,1,2054,E5TROFOI,0.2941276
BAU,1,2054,E5TROGSL,47.5423575
BAU,1,2055,E5TRODSL,24.572705300000003
BAU,1,2055,E5TROELE,0.42502081999999997
BAU,1,2055,E5TROFOI,0.30083584
BAU,1,2055,E5TROGSL,48.7928553
BAU,2,2021,E5TRODSL,9.32529533
BAU,2,2021,E5TROFOI,0.0144
BAU,2,2021,E5TROGSL,20.86653876
BAU,2,2022,E5TRODSL,10.088475489999999
BAU,2,2022,E5TROFOI,0.0156
BAU,2,2022,E5TROGSL,22.576075359999997
BAU,2,2023,E5TRODSL,10.558755300000001
BAU,2,2023,E5TROFOI,0.016303584
BAU,2,2023,E5TROGSL,23.62971588
BAU,2,2024,E5TRODSL,10.762740440000002
BAU,2,2024,E5TROFOI,0.01652509
BAU,2,2024,E5TROGSL,24.082653999999998
BAU,2,2025,E5TRODSL,10.97084808
BAU,2,2025,E5TROFOI,0.0169
BAU,2,2025,E5TROGSL,24.5492405
BAU,2,2026,E5TRODSL,11.1397026
BAU,2,2026,E5TROELE,0.0082476
BAU,2,2026,E5TROFOI,0.030513978
BAU,2,2026,E5TROGSL,24.9250765
BAU,2,2027,E5TRODSL,11.16737496
BAU,2,2027,E5TROELE,0.01590299
BAU,2,2027,E5TROFOI,0.058443728
BAU,2,2027,E5TROGSL,25.275465500000003
BAU,2,2028,E5TRODSL,11.26733782
BAU,2,2028,E5TROELE,0.024213210000000002
BAU,2,2028,E5TROFOI,0.0726
BAU,2,2028,E5TROGSL,25.6362273
BAU,2,2029,E5TRODSL,11.36521875
BAU,2,2029,E5TROELE,0.0328708
BAU,2,2029,E5TROFOI,0.087036918
BAU,2,2029,E5TROGSL,25.990808699999995
BAU,2,2030,E5TRODSL,11.46751051
BAU,2,2030,E5TROELE,0.04118059
BAU,2,2030,E5TROFOI,0.1017
BAU,2,2030,E5TROGSL,26.3368095
BAU,2,2031,E5TRODSL,11.58973484
BAU,2,2031,E5TROELE,0.051793399999999996
BAU,2,2031,E5TROFOI,0.1169
BAU,2,2031,E5TROGSL,26.718009600000002
BAU,2,2032,E5TRODSL,11.70734625
BAU,2,2032,E5TROELE,0.06252176
BAU,2,2032,E5TROFOI,0.1325
BAU,2,2032,E5TROGSL,27.092845099999998
BAU,2,2033,E5TRODSL,11.82203193
BAU,2,2033,E5TROELE,0.07329347
BAU,2,2033,E5TROFOI,0.14845735
BAU,2,2033,E5TROGSL,27.4635556
BAU,2,2034,E5TRODSL,11.93481332
BAU,2,2034,E5TROELE,0.08441898
BAU,2,2034,E5TROFOI,0.1645
BAU,2,2034,E5TROGSL,27.8293003
BAU,2,2035,E5TRODSL,12.04442817
BAU,2,2035,E5TROELE,0.09565434
BAU,2,2035,E5TROFOI,0.18091254
BAU,2,2035,E5TROGSL,28.18868021
BAU,2,2036,E5TRODSL,12.20167761
BAU,2,2036,E5TROELE,0.10679956
BAU,2,2036,E5TROFOI,0.1983
BAU,2,2036,E5TROGSL,28.65260378
BAU,2,2037,E5TRODSL,12.39572954
BAU,2,2037,E5TROELE,0.11841618
BAU,2,2037,E5TROFOI,0.21611004
BAU,2,2037,E5TROGSL,29.0686872
BAU,2,2038,E5TRODSL,12.54323645
BAU,2,2038,E5TROELE,0.12984073000000002
BAU,2,2038,E5TROFOI,0.23436953
BAU,2,2038,E5TROGSL,29.522215520000003
BAU,2,2039,E5TRODSL,12.68763594
BAU,2,2039,E5TROELE,0.14148289
BAU,2,2039,E5TROFOI,0.2527362
BAU,2,2039,E5TROGSL,29.9696122
BAU,2,2040,E5TRODSL,12.82838042
BAU,2,2040,E5TROELE,0.15354725
BAU,2,2040,E5TROFOI,0.27161004
BAU,2,2040,E5TROGSL,30.410212199999997
BAU,2,2041,E5TRODSL,13.08510194
BAU,2,2041,E5TROELE,0.1659521
BAU,2,2041,E5TROFOI,0.2672
BAU,2,2041,E5TROGSL,31.043165300000002
BAU,2,2042,E5TRODSL,13.336054220000001
BAU,2,2042,E5TROELE,0.17843969
BAU,2,2042,E5TROFOI,0.26267133
BAU,2,2042,E5TROGSL,31.672052299999997
BAU,2,2043,E5TRODSL,13.58684725
BAU,2,2043,E5TROELE,0.19140733999999998
BAU,2,2043,E5TROFOI,0.25763728
BAU,2,2043,E5TROGSL,32.2962804
BAU,2,2044,E5TRODSL,13.83404417
BAU,2,2044,E5TROELE,0.20411131
BAU,2,2044,E5TROFOI,0.25221183
BAU,2,2044,E5TROGSL,32.9173307
BAU,2,2045,E5TRODSL,14.08043386
BAU,2,2045,E5TROELE,0.21611757
BAU,2,2045,E5TROFOI,0.24650394
BAU,2,2045,E5TROGSL,33.534883199999996
BAU,2,2046,E5TRODSL,14.36023434
BAU,2,2046,E5TROELE,0.22869548
BAU,2,2046,E5TROFOI,0.2411
BAU,2,2046,E5TROGSL,34.2250807
BAU,2,2047,E5TRODSL,14.645340780000002
BAU,2,2047,E5TROELE,0.24196507
BAU,2,2047,E5TROFOI,0.23536667
BAU,2,2047,E5TROGSL,34.9123646
BAU,2,2048,E5TRODSL,14.93054634
BAU,2,2048,E5TROELE,0.25502636
BAU,2,2048,E5TROFOI,0.22922581
BAU,2,2048,E5TROGSL,35.5947434
BAU,2,2049,E5TRODSL,15.21408103
BAU,2,2049,E5TROELE,0.26795155
BAU,2,2049,E5TROFOI,0.2227
BAU,2,2049,E5TROGSL,36.273191600000004
BAU,2,2050,E5TRODSL,15.49357234
BAU,2,2050,E5TROELE,0.28143809999999997
BAU,2,2050,E5TROFOI,0.2158
BAU,2,2050,E5TROGSL,36.948077000000005
BAU,2,2051,E5TRODSL,15.72438126
BAU,2,2051,E5TROELE,0.28250772
BAU,2,2051,E5TROFOI,0.2187
BAU,2,2051,E5TROGSL,37.707659
BAU,2,2052,E5TRODSL,15.957692399999999
BAU,2,2052,E5TROELE,0.28396509000000003
BAU,2,2052,E5TROFOI,0.2215
BAU,2,2052,E5TROGSL,38.4835047
BAU,2,2053,E5TRODSL,16.19330348
BAU,2,2053,E5TROELE,0.28500049
BAU,2,2053,E5TROFOI,0.22430681
BAU,2,2053,E5TROGSL,39.27579
BAU,2,2054,E5TRODSL,16.430957839999998
BAU,2,2054,E5TROELE,0.28624293
BAU,2,2054,E5TROFOI,0.22726416
BAU,2,2054,E5TROGSL,40.082243899999995
BAU,2,2055,E5TRODSL,16.67065961
BAU,2,2055,E5TROELE,0.28767801000000004
BAU,2,2055,E5TROFOI,0.23011864
BAU,2,2055,E5TROGSL,40.9058402
BAU,3,2021,E5TRODSL,9.31777282
BAU,3,2021,E5TROFOI,0.0144
BAU,3,2021,E5TROGSL,20.87428676
BAU,3,2022,E5TRODSL,10.088475489999999
BAU,3,2022,E5TROFOI,0.0156
BAU,3,2022,E5TROGSL,22.576075359999997
BAU,3,2023,E5TRODSL,10.558755300000001
BAU,3,2023,E5TROFOI,0.016303584
BAU,3,2023,E5TROGSL,23.62971588
BAU,3,2024,E5TRODSL,10.76274034
BAU,3,2024,E5TROFOI,0.01652509
BAU,3,2024,E5TROGSL,24.082653999999998
BAU,3,2025,E5TRODSL,10.97084808
BAU,3,2025,E5TROFOI,0.0169
BAU,3,2025,E5TROGSL,24.5492405
BAU,3,2026,E5TRODSL,11.1397026
BAU,3,2026,E5TROELE,0.0082476
BAU,3,2026,E5TROFOI,0.030513978
BAU,3,2026,E5TROGSL,24.9250765
BAU,3,2027,E5TRODSL,11.240110190000001
BAU,3,2027,E5TROELE,0.01589883
BAU,3,2027,E5TROFOI,0.059082079
BAU,3,2027,E5TROGSL,25.2033023
BAU,3,2028,E5TRODSL,11.415461899999999
BAU,3,2028,E5TROELE,0.024161679999999998
BAU,3,2028,E5TROFOI,0.0741
BAU,3,2028,E5TROGSL,25.4899131
BAU,3,2029,E5TRODSL,11.59329706
BAU,3,2029,E5TROELE,0.03266003
BAU,3,2029,E5TROFOI,0.089629032
BAU,3,2029,E5TROGSL,25.765142
BAU,3,2030,E5TRODSL,11.7743208
BAU,3,2030,E5TROELE,0.040938840000000004
BAU,3,2030,E5TROFOI,0.1058
BAU,3,2030,E5TROGSL,26.0302315
BAU,3,2031,E5TRODSL,11.977669839999999
BAU,3,2031,E5TROELE,0.05142344
BAU,3,2031,E5TROFOI,0.1228
BAU,3,2031,E5TROGSL,26.3289603
BAU,3,2032,E5TRODSL,12.177841390000001
BAU,3,2032,E5TROELE,0.06193171
BAU,3,2032,E5TROFOI,0.1405
BAU,3,2032,E5TROGSL,26.6196881
BAU,3,2033,E5TRODSL,12.377072479999999
BAU,3,2033,E5TROELE,0.07262375
BAU,3,2033,E5TROFOI,0.15903728
BAU,3,2033,E5TROGSL,26.9015663
BAU,3,2034,E5TRODSL,12.57439569
BAU,3,2034,E5TROELE,0.08296819999999999
BAU,3,2034,E5TROFOI,0.178
BAU,3,2034,E5TROGSL,27.1787133
BAU,3,2035,E5TRODSL,12.7691484
BAU,3,2035,E5TROELE,0.09394721
BAU,3,2035,E5TROFOI,0.19781613
BAU,3,2035,E5TROGSL,27.447863599999998
BAU,3,2036,E5TRODSL,13.01346308
BAU,3,2036,E5TROELE,0.10473478
BAU,3,2036,E5TROFOI,0.219
BAU,3,2036,E5TROGSL,27.818066
BAU,3,2037,E5TRODSL,13.30207972
BAU,3,2037,E5TROELE,0.11595681000000001
BAU,3,2037,E5TROFOI,0.2411
BAU,3,2037,E5TROGSL,28.132561799999998
BAU,3,2038,E5TRODSL,13.54098196
BAU,3,2038,E5TROELE,0.12748108
BAU,3,2038,E5TROFOI,0.26413728
BAU,3,2038,E5TROGSL,28.4836846
BAU,3,2039,E5TRODSL,13.78031238
BAU,3,2039,E5TROELE,0.13825957
BAU,3,2039,E5TROFOI,0.2878
BAU,3,2039,E5TROGSL,28.8273747
BAU,3,2040,E5TRODSL,14.016069600000002
BAU,3,2040,E5TROELE,0.14994995
BAU,3,2040,E5TROFOI,0.31241075
BAU,3,2040,E5TROGSL,29.161817900000003
BAU,3,2041,E5TRODSL,14.39347893
BAU,3,2041,E5TROELE,0.16172504
BAU,3,2041,E5TROFOI,0.31060108
BAU,3,2041,E5TROGSL,29.6799787
BAU,3,2042,E5TRODSL,14.77079819
BAU,3,2042,E5TROELE,0.17323567
BAU,3,2042,E5TROFOI,0.30844229
BAU,3,2042,E5TROGSL,30.1932764
BAU,3,2043,E5TRODSL,15.15156195
BAU,3,2043,E5TROELE,0.18563132000000002
BAU,3,2043,E5TROFOI,0.30576129
BAU,3,2043,E5TROGSL,30.6990274
BAU,3,2044,E5TRODSL,15.537645939999999
BAU,3,2044,E5TROELE,0.19690493999999997
BAU,3,2044,E5TROFOI,0.30244014
BAU,3,2044,E5TROGSL,31.198936800000002
BAU,3,2045,E5TRODSL,15.92347747
BAU,3,2045,E5TROELE,0.20897997999999998
BAU,3,2045,E5TROFOI,0.2988
BAU,3,2045,E5TROGSL,31.6922928
BAU,3,2046,E5TRODSL,16.35450582
BAU,3,2046,E5TROELE,0.22040023
BAU,3,2046,E5TROFOI,0.2953
BAU,3,2046,E5TROGSL,32.2511535
BAU,3,2047,E5TRODSL,16.79645042
BAU,3,2047,E5TROELE,0.23293713
BAU,3,2047,E5TROFOI,0.29135986
BAU,3,2047,E5TROGSL,32.8035074
BAU,3,2048,E5TRODSL,17.24290246
BAU,3,2048,E5TROELE,0.24511582999999998
BAU,3,2048,E5TROFOI,0.28673943
BAU,3,2048,E5TROGSL,33.3490455
BAU,3,2049,E5TRODSL,17.69538629
BAU,3,2049,E5TROELE,0.25686702
BAU,3,2049,E5TROFOI,0.2816
BAU,3,2049,E5TROGSL,33.8868522
BAU,3,2050,E5TRODSL,18.14737778
BAU,3,2050,E5TROELE,0.26897576
BAU,3,2050,E5TROFOI,0.2759767
BAU,3,2050,E5TROGSL,34.4202619
BAU,3,2051,E5TRODSL,18.54897487
BAU,3,2051,E5TROELE,0.26990079
BAU,3,2051,E5TROFOI,0.28253656
BAU,3,2051,E5TROGSL,35.0238286
BAU,3,2052,E5TRODSL,18.95786353
BAU,3,2052,E5TROELE,0.2705136
BAU,3,2052,E5TROFOI,0.2893
BAU,3,2052,E5TROGSL,35.6362745
BAU,3,2053,E5TRODSL,19.37511353
BAU,3,2053,E5TROELE,0.2709918
BAU,3,2053,E5TROFOI,0.2963
BAU,3,2053,E5TROGSL,36.2586159
BAU,3,2054,E5TRODSL,19.80106237
BAU,3,2054,E5TROELE,0.27136329
BAU,3,2054,E5TROFOI,0.3034
BAU,3,2054,E5TROGSL,36.892243
BAU,3,2055,E5TRODSL,20.23710663
BAU,3,2055,E5TROELE,0.27199349
BAU,3,2055,E5TROFOI,0.31065484
BAU,3,2055,E5TROGSL,37.5371918
BAU,4,2021,E5TRODSL,9.317367410000001
BAU,4,2021,E5TROFOI,0.0144
BAU,4,2021,E5TROGSL,20.87470376
BAU,4,2022,E5TRODSL,10.088475489999999
BAU,4,2022,E5TROFOI,0.0156
BAU,4,2022,E5TROGSL,22.576075359999997
BAU,4,2023,E5TRODSL,10.558755300000001
BAU,4,2023,E5TROFOI,0.016303584
BAU,4,2023,E5TROGSL,23.62971588
BAU,4,2024,E5TRODSL,10.762740440000002
BAU,4,2024,E5TROFOI,0.01652509
BAU,4,2024,E5TROGSL,24.082653999999998
BAU,4,2025,E5TRODSL,10.97084808
BAU,4,2025,E5TROFOI,0.0169
BAU,4,2025,E5TROGSL,24.5492405
BAU,4,2026,E5TRODSL,11.1397026
BAU,4,2026,E5TROELE,0.0082476
BAU,4,2026,E5TROFOI,0.030513978
BAU,4,2026,E5TROGSL,24.9250765
BAU,4,2027,E5TRODSL,11.28593074
BAU,4,2027,E5TROELE,0.0158294
BAU,4,2027,E5TROFOI,0.059183154
BAU,4,2027,E5TROGSL,25.2415292
BAU,4,2028,E5TRODSL,11.50798378
BAU,4,2028,E5TROELE,0.02394381
BAU,4,2028,E5TROFOI,0.0745
BAU,4,2028,E5TROGSL,25.5665471
BAU,4,2029,E5TRODSL,11.734220520000001
BAU,4,2029,E5TROELE,0.03221646
BAU,4,2029,E5TROFOI,0.0904
BAU,4,2029,E5TROGSL,25.8822321
BAU,4,2030,E5TRODSL,11.96443999
BAU,4,2030,E5TROELE,0.04019121
BAU,4,2030,E5TROFOI,0.10702616
BAU,4,2030,E5TROGSL,26.188021300000003
BAU,4,2031,E5TRODSL,12.21827772
BAU,4,2031,E5TROELE,0.050228289999999995
BAU,4,2031,E5TROFOI,0.12460251
BAU,4,2031,E5TROGSL,26.5277019
BAU,4,2032,E5TRODSL,12.46980185
BAU,4,2032,E5TROELE,0.06031865
BAU,4,2032,E5TROFOI,0.14303728
BAU,4,2032,E5TROGSL,26.8607812
BAU,4,2033,E5TRODSL,12.72319229
BAU,4,2033,E5TROELE,0.07021347
BAU,4,2033,E5TROFOI,0.16223047
BAU,4,2033,E5TROGSL,27.1866686
BAU,4,2034,E5TRODSL,12.974345929999998
BAU,4,2034,E5TROELE,0.07973720000000001
BAU,4,2034,E5TROFOI,0.1821
BAU,4,2034,E5TROGSL,27.5091331
BAU,4,2035,E5TRODSL,13.22610085
BAU,4,2035,E5TROELE,0.08979666
BAU,4,2035,E5TROFOI,0.20280108
BAU,4,2035,E5TROGSL,27.8235421
BAU,4,2036,E5TRODSL,13.528469650000002
BAU,4,2036,E5TROELE,0.0995453
BAU,4,2036,E5TROFOI,0.22530215
BAU,4,2036,E5TROGSL,28.2419101
BAU,4,2037,E5TRODSL,13.878343679999999
BAU,4,2037,E5TROELE,0.10954633999999999
