Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,0,,DIST_GSL,,2038,,9.2598,9.2598,9.2598,9.2598,,,,169.195,72.0402,,,72.0402,,,,,,89.2845,,Energy
LTS,0,,DIST_GSL,,2039,,8.9227,8.9227,8.9227,8.9227,,,,163.727,66.3924,,,66.3924,,,,,,82.2535,,Energy
LTS,0,,DIST_GSL,,2040,,8.5711,8.5711,8.5711,8.5711,,,,157.467,60.8134,,,60.8134,,,,,,75.3128,,Energy
LTS,0,,DIST_GSL,,2041,,8.2788,8.2788,8.2788,8.2788,,,,152.087,55.9384,,,55.9384,,,,,,69.2495,,Energy
LTS,0,,DIST_GSL,,2042,,7.9713,7.9713,7.9713,7.9713,,,,146.803,51.4238,,,51.4238,,,,,,63.6363,,Energy
LTS,0,,DIST_GSL,,2043,,7.6472,7.6472,7.6472,7.6472,,,,140.254,46.7904,,,46.7904,,,,,,57.8803,,Energy
LTS,0,,DIST_GSL,,2044,,7.3063,7.3063,7.3063,7.3063,,,,134.868,42.8511,,,42.8511,,,,,,52.987,,Energy
LTS,0,,DIST_GSL,,2045,,6.9491,6.9491,6.9491,6.9491,,,,128.314,38.8273,,,38.8273,,,,,,47.9932,,Energy
LTS,0,,DIST_GSL,,2046,,6.5943,6.5943,6.5943,6.5943,,,,125.153,36.0672,,,36.0672,,,,,,44.5648,,Energy
LTS,0,,DIST_GSL,,2047,,6.2157,6.2157,6.2157,6.2157,,,,117.945,32.3715,,,32.3715,,,,,,39.983,,Energy
LTS,0,,DIST_GSL,,2048,,5.8011,5.8011,5.8011,5.8011,,,,110.959,29.004,,,29.004,,,,,,35.81,,Energy
LTS,0,,DIST_GSL,,2049,,5.3716,5.3716,5.3716,5.3716,,,,103.0,25.6414,,,25.6414,,,,,,31.6464,,Energy
LTS,0,,DIST_GSL,,2050,,4.9283,4.9283,4.9283,4.9283,,,,95.3153,22.5984,,,22.5984,,,,,,27.8801,,Energy
LTS,0,,DIST_GSL,,2051,,5.0544,5.0544,5.0544,5.0544,,,,97.7541,22.073,,,22.073,,,,,,27.2215,,Energy
LTS,0,,DIST_GSL,,2052,,5.1703,5.1703,5.1703,5.1703,,,,99.9957,21.504,,,21.504,,,,,,26.5097,,Energy
LTS,0,,DIST_GSL,,2053,,5.2781,5.2781,5.2781,5.2781,,,,102.081,20.907,,,20.907,,,,,,25.764,,Energy
LTS,0,,DIST_GSL,,2054,,5.3894,5.3894,5.3894,5.3894,,,,104.233,20.3313,,,20.3313,,,,,,25.0449,,Energy
LTS,0,,DIST_GSL,,2055,,5.5178,5.5178,5.5178,5.5178,,,,106.716,19.8244,,,19.8244,,,,,,24.4111,,Energy
