Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,78,,DIST_NGS,,2025,,27.92,27.92,27.92,27.92,,,,195.359,172.757,,,172.757,,,,,,195.359,,Energy
BAU,78,,DIST_NGS,,2026,,26.5623,26.5623,26.5623,26.5623,,,,194.632,167.475,,,167.475,,,,,,185.3638,,Energy
BAU,78,,DIST_NGS,,2027,,27.2828,27.2828,27.2828,27.2828,,,,206.335,172.759,,,172.759,,,,,,187.1519,,Energy
BAU,78,,DIST_NGS,,2028,,26.7824,26.7824,26.7824,26.7824,,,,208.857,170.158,,,170.158,,,,,,180.4185,,Energy
BAU,78,,DIST_NGS,,2029,,26.893,26.893,26.893,26.893,,,,216.053,171.276,,,171.276,,,,,,177.7473,,Energy
BAU,78,,DIST_NGS,,2030,,25.0016,25.0016,25.0016,25.0016,,,,206.743,159.478,,,159.478,,,,,,161.9886,,Energy
BAU,78,,DIST_NGS,,2031,,24.2695,24.2695,24.2695,24.2695,,,,206.405,154.925,,,154.925,,,,,,154.0226,,Energy
BAU,78,,DIST_NGS,,2032,,24.0685,24.0685,24.0685,24.0685,,,,210.363,153.641,,,153.641,,,,,,149.5011,,Energy
BAU,78,,DIST_NGS,,2033,,23.8678,23.8678,23.8678,23.8678,,,,214.228,152.246,,,152.246,,,,,,144.9979,,Energy
BAU,78,,DIST_NGS,,2034,,23.6677,23.6677,23.6677,23.6677,,,,218.006,150.755,,,150.755,,,,,,140.5286,,Energy
BAU,78,,DIST_NGS,,2035,,21.345,21.345,21.345,21.345,,,,201.635,135.676,,,135.676,,,,,,123.7864,,Energy
BAU,78,,DIST_NGS,,2036,,20.3451,20.3451,20.3451,20.3451,,,,196.982,128.973,,,128.973,,,,,,115.1713,,Energy
BAU,78,,DIST_NGS,,2037,,19.3458,19.3458,19.3458,19.3458,,,,191.862,122.235,,,122.235,,,,,,106.8359,,Energy
BAU,78,,DIST_NGS,,2038,,18.3471,18.3471,18.3471,18.3471,,,,186.276,115.477,,,115.477,,,,,,98.7861,,Energy
BAU,78,,DIST_NGS,,2039,,17.349,17.349,17.349,17.349,,,,180.228,108.717,,,108.717,,,,,,91.0274,,Energy
BAU,78,,DIST_NGS,,2040,,16.3512,16.3512,16.3512,16.3512,,,,173.713,101.962,,,101.962,,,,,,83.5589,,Energy
BAU,78,,DIST_NGS,,2041,,16.6336,16.6336,16.6336,16.6336,,,,180.629,103.164,,,103.164,,,,,,82.7482,,Energy
BAU,78,,DIST_NGS,,2042,,16.9167,16.9167,16.9167,16.9167,,,,187.688,104.306,,,104.306,,,,,,81.8877,,Energy
BAU,78,,DIST_NGS,,2043,,17.2005,17.2005,17.2005,17.2005,,,,194.887,105.388,,,105.388,,,,,,80.9796,,Energy
BAU,78,,DIST_NGS,,2044,,17.4848,17.4848,17.4848,17.4848,,,,202.223,106.407,,,106.407,,,,,,80.0265,,Energy
BAU,78,,DIST_NGS,,2045,,17.7697,17.7697,17.7697,17.7697,,,,209.704,107.369,,,107.369,,,,,,79.0352,,Energy
BAU,78,,DIST_NGS,,2046,,18.0574,18.0574,18.0574,18.0574,,,,217.352,108.286,,,108.286,,,,,,78.0168,,Energy
BAU,78,,DIST_NGS,,2047,,18.3459,18.3459,18.3459,18.3459,,,,225.143,109.144,,,109.144,,,,,,76.9651,,Energy
BAU,78,,DIST_NGS,,2048,,18.6349,18.6349,18.6349,18.6349,,,,233.078,109.945,,,109.945,,,,,,75.8835,,Energy
BAU,78,,DIST_NGS,,2049,,18.9246,18.9246,18.9246,18.9246,,,,241.158,110.69,,,110.69,,,,,,74.7754,,Energy
BAU,78,,DIST_NGS,,2050,,19.2149,19.2149,19.2149,19.2149,,,,249.381,111.38,,,111.38,,,,,,73.6429,,Energy
BAU,78,,DIST_NGS,,2051,,19.3995,19.3995,19.3995,19.3995,,,,256.345,111.404,,,111.404,,,,,,72.0947,,Energy
BAU,78,,DIST_NGS,,2052,,19.5836,19.5836,19.5836,19.5836,,,,263.388,111.38,,,111.38,,,,,,70.548,,Energy
BAU,78,,DIST_NGS,,2053,,19.7679,19.7679,19.7679,19.7679,,,,270.521,111.313,,,111.313,,,,,,69.0082,,Energy
BAU,78,,DIST_NGS,,2054,,19.9523,19.9523,19.9523,19.9523,,,,277.744,111.204,,,111.204,,,,,,67.4769,,Energy
BAU,78,,DIST_NGS,,2055,,20.1369,20.1369,20.1369,20.1369,,,,285.053,111.055,,,111.055,,,,,,65.9548,,Energy
BAU,78,,DIST_LPG,,2021,,4.4822,4.4822,4.4822,4.4822,,,,97.0204,95.7039,,,95.7039,,,,,,117.9289,,Energy
BAU,78,,DIST_LPG,,2022,,5.4102,5.4102,5.4102,5.4102,,,,117.108,112.405,,,112.405,,,,,,135.5671,,Energy
BAU,78,,DIST_LPG,,2023,,5.529,5.529,5.529,5.529,,,,123.018,114.895,,,114.895,,,,,,135.6273,,Energy
BAU,78,,DIST_LPG,,2024,,5.5567,5.5567,5.5567,5.5567,,,,118.128,107.355,,,107.355,,,,,,124.0344,,Energy
BAU,78,,DIST_LPG,,2025,,5.5845,5.5845,5.5845,5.5845,,,,112.065,99.0992,,,99.0992,,,,,,112.065,,Energy
BAU,78,,DIST_LPG,,2026,,5.612,5.612,5.612,5.612,,,,110.868,95.3983,,,95.3983,,,,,,105.5886,,Energy
BAU,78,,DIST_LPG,,2027,,5.7586,5.7586,5.7586,5.7586,,,,116.898,97.8758,,,97.8758,,,,,,106.0299,,Energy
BAU,78,,DIST_LPG,,2028,,5.9061,5.9061,5.9061,5.9061,,,,123.106,100.295,,,100.295,,,,,,106.3436,,Energy
BAU,78,,DIST_LPG,,2029,,6.0548,6.0548,6.0548,6.0548,,,,129.499,102.661,,,102.661,,,,,,106.5391,,Energy
